iter	Passed	Remaining
628	1935	1141
629	1937	1137
630	1939	1134
631	1942	1131
632	1945	1128
633	1947	1124
634	1948	1120
635	1950	1116
636	1952	1112
637	1956	1110
638	1958	1106
639	1959	1102
640	1961	1098
641	1962	1094
642	1964	1090
643	1966	1086
644	1967	1082
645	1973	1081
646	1974	1077
647	1976	1073
648	1977	1069
649	1979	1065
650	1980	1061
651	1981	1057
652	1985	1055
653	1987	1051
654	1989	1047
655	1990	1044
656	1992	1040
657	1993	1036
658	1995	1032
659	1997	1028
660	2001	1026
661	2004	1023
662	2005	1019
663	2007	1015
664	2008	1011
665	2010	1008
666	2011	1004
667	2015	1001
668	2018	998
669	2020	994
670	2021	991
671	2023	987
672	2024	983
673	2026	980
674	2033	979
675	2035	975
676	2036	971
677	2038	968
678	2040	964
679	2042	960
680	2045	958
681	2047	954
682	2048	950
683	2050	947
684	2052	943
685	2053	940
686	2055	936
687	2059	934
688	2062	931
689	2065	927
690	2067	924
691	2068	920
692	2070	917
693	2076	915
694	2079	912
695	2081	909
696	2091	909
697	2093	905
698	2095	902
699	2096	898
700	2098	894
701	2099	891
702	2101	887
703	2111	887
704	2113	884
705	2115	881
706	2121	879
707	2125	876
708	2126	872
709	2128	869
710	2129	865
711	2130	861
712	2131	857
713	2135	855
714	2138	852
715	2140	848
716	2141	845
717	2142	841
718	2144	837
719	2145	834
720	2146	830
721	2150	828
722	2153	825
723	2154	821
724	2156	817
725	2157	814
726	2158	810
727	2159	807
728	2161	803
729	2163	800
730	2167	797
731	2169	794
732	2170	790
733	2172	787
734	2173	783
735	2174	780
736	2176	776
737	2180	773
738	2182	770
739	2183	767
740	2184	763
741	2186	760
742	2187	756
743	2188	753
744	2189	749
745	2191	746
746	2196	744
747	2198	740
748	2199	737
749	2200	733
750	2202	730
751	2203	726
752	2204	723
753	2205	719
754	2208	716
755	2211	713
756	2212	710
757	2214	706
758	2215	703
759	2216	699
760	2217	696
761	2218	693
762	2220	689
763	2222	686
764	2225	683
765	2226	680
766	2227	676
767	2229	673
768	2230	669
769	2231	666
770	2232	663
771	2234	659
772	2235	656
773	2239	654
774	2241	650
775	2243	647
776	2244	644
777	2245	640
778	2247	637
779	2248	634
780	2249	630
781	2255	628
782	2257	625
783	2258	622
784	2260	619
785	2261	615
786	2263	612
787	2264	609
788	2269	606
789	2270	603
790	2272	600
791	2273	597
792	2274	593
793	2276	590
794	2277	587
795	2278	584
796	2280	580
797	2284	578
798	2287	575
799	2288	572
800	2289	568
801	2291	565
802	2292	562
803	2293	559
804	2294	555
805	2297	553
806	2301	550
807	2302	547
808	2304	544
809	2305	540
810	2306	537
811	2308	534
812	2309	531
813	2314	528
814	2316	525
815	2317	522
816	2318	519
817	2320	516
818	2321	513
819	2322	509
820	2324	506
821	2327	503
822	2332	501
823	2334	498
824	2336	495
825	2337	492
826	2338	489
827	2339	486
828	2344	483
829	2346	480
830	2348	477
831	2349	474
832	2350	471
833	2352	468
834	2353	465
835	2356	462
836	2359	459
837	2361	456
838	2363	453
839	2367	450
840	2369	447
841	2376	445
842	2378	443
843	2380	439
844	2381	436
845	2383	433
846	2385	430
847	2389	428
848	2392	425
849	2394	422
850	2395	419
851	2397	416
852	2399	413
853	2401	410
854	2406	408
855	2408	405
856	2409	402
857	2411	399
858	2412	396
859	2414	393
860	2416	390
861	2420	387
862	2422	384
863	2423	381
864	2425	378
865	2426	375
866	2428	372
867	2432	369
868	2435	367
869	2437	364
870	2438	361
871	2440	358
872	2441	355
873	2443	352
874	2448	349
875	2449	346
876	2451	343
877	2458	341
878	2467	339
879	2469	336
880	2470	333
881	2472	330
882	2473	327
883	2480	325
884	2482	322
885	2485	319
886	2487	316
887	2489	313
888	2494	311
889	2496	308
890	2498	305
891	2500	302
892	2502	299
893	2504	296
894	2513	294
895	2515	291
896	2517	289
897	2519	286
898	2524	283
899	2527	280
900	2529	277
901	2530	274
902	2532	272
903	2533	269
904	2539	266
905	2541	263
906	2544	260
907	2545	257
908	2547	255
909	2549	252
910	2554	249
911	2556	246
912	2558	243
913	2559	240
914	2562	238
915	2570	235
916	2572	232
917	2576	230
918	2581	227
919	2583	224
920	2585	221
921	2586	218
922	2587	215
923	2589	212
924	2590	210
925	2595	207
926	2598	204
927	2599	201
928	2600	198
929	2602	195
930	2603	192
931	2604	190
932	2607	187
933	2611	184
934	2612	181
935	2614	178
936	2616	175
937	2618	173
938	2619	170
939	2620	167
940	2627	164
941	2628	161
942	2630	158
943	2631	156
944	2633	153
945	2634	150
946	2636	147
947	2641	144
948	2643	142
949	2644	139
950	2645	136
951	2647	133
952	2648	130
953	2650	127
954	2655	125
955	2657	122
956	2658	119
957	2659	116
958	2660	113
959	2662	110
960	2663	108
961	2664	105
962	2670	102
963	2672	99
964	2674	96
965	2675	94
966	2677	91
967	2678	88
968	2679	85
969	2682	82
970	2686	80
971	2688	77
972	2689	74
973	2690	71
974	2691	69
975	2693	66
976	2694	63
977	2696	60
978	2700	57
979	2701	55
980	2702	52
981	2704	49
982	2705	46
983	2707	44
984	2708	41
985	2709	38
986	2711	35
987	2714	32
988	2715	30
989	2716	27
990	2718	24
991	2719	21
992	2721	19
993	2722	16
994	2723	13
995	2728	10
996	2730	8
997	2731	5
998	2732	2
999	2734	0
